genome	organism	genes_before_filter	genes_after_filter	difference
yHMPu5000035671_phaffomyces_antillensis_160613	phaffomyces_antillensis	5931	5817	114
yHMPu5000035672_phaffomyces_thermotolerans_160613	phaffomyces_thermotolerans	5625	5565	60
yHMPu5000035673_candida_orba_160613	candida_orba	5742	5723	19
yHMPu5000035674_kregervanrija_delftensis_160613	kregervanrija_delftensis	6042	5892	150
yHMPu5000035675_kregervanrija_fluxuum_160613	kregervanrija_fluxuum	6539	6458	81
yHMPu5000035677_kodamaea_ohmeri_160519	kodamaea_ohmeri	5362	5338	24
yHMPu5000035679_candida_rhagii_160613	candida_rhagii	5587	5557	30
yHMPu5000035681_candida_gotoi_160519	candida_gotoi	5752	5729	23
yHMPu5000035684_kloeckera_hatyaiensis_160519	kloeckera_hatyaiensis	4589	4404	185
yHMPu5000035686_cyberlindnera_saturnus_160519	cyberlindnera_saturnus	6564	6310	254
yHMPu5000035687_cyberlindnera_suaveolens_160613	cyberlindnera_suaveolens	6088	6042	46
yHMPu5000035688_cyberlindnera_xylosilytica_160519	cyberlindnera_xylosilytica	6510	6258	252
yHMPu5000035689_candida_mycetangii_160613	candida_mycetangii	5720	5706	14
yHMPu5000035690_candida_vartiovaarae_160613	candida_vartiovaarae	5617	5603	14
yHMPu5000035691_candida_salmanticensis_160519	candida_salmanticensis	5902	5875	27
yHMPu5000035695_hanseniaspora_pseudoguilliermondii_160519	hanseniaspora_pseudoguilliermondii	4438	4358	80
yHMPu5000035696_hanseniaspora_singularis_160519	hanseniaspora_singularis	4985	4648	337
yHMPu5000035699_cyberlindnera_maclurae_160613	cyberlindnera_maclurae	5725	5710	15
yHMPu5000035703_cyberlindnera_americana_160613	cyberlindnera_americana	5848	5820	28
yHMPu5000035707_candida_heveicola_160519	candida_heveicola	5216	5209	7
yHMPu5000041678_debaryomyces_prosopidis_160928	debaryomyces_prosopidis	6201	5798	403
yHMPu5000041693_debaryomyces_nepalensis_160928	debaryomyces_nepalensis	5575	5564	11
yHMPu5000041713_debaryomyces_maramus_160928	debaryomyces_maramus	5559	5550	9
yHMPu5000041743_candida_hawaiiana_160928	candida_hawaiiana	5098	5039	59
yHMPu5000041818_magnusiomyces_tetrasperma_160928	magnusiomyces_tetrasperma	8711	8528	183
yHMPu5000041822_dipodascus_geniculatus_160928	dipodascus_geniculatus	6924	6888	36
yHMPu5000041824_debaryomyces_subglobosus_160928	debaryomyces_subglobosus	5552	5536	16
yHMPu5000041829_debaryomyces_fabryi_160928	debaryomyces_fabryi	5618	5598	20
yHMPu5000041833_candida_tammaniensis_160928	candida_tammaniensis	5523	5512	11
yHMPu5000041840_candida_wancherniae_160928	candida_wancherniae	4825	4817	8
yHMPu5000041855_candida_ascalaphidarum_160928	candida_ascalaphidarum	4959	4950	9
yHMPu5000041862_candida_golubevii_160928	candida_golubevii	5700	5677	23
yHMPu5000041863_candida_gorgasii_160928	candida_gorgasii	5577	5561	16
yarrowia_deformans	yarrowia_deformans	6509	6489	20
yarrowia_keelungensis	yarrowia_keelungensis	6382	6362	20
yarrowia_lipolytica	yarrowia_lipolytica	6433	6418	15
zygosaccharomyces_bailii	zygosaccharomyces_bailii	4606	4604	2
zygosaccharomyces_rouxii	zygosaccharomyces_rouxii	4623	4614	9
